,CityState,City.x,State.x,pop,City.y,Criteria.ID,State.y,StateAbb,DMA.Region,DMA.Region.Code
3337,"Petoskey, MI",Petoskey,MI,6028,Petoskey,1019525,Michigan,MI,"Traverse City-Cadillac, MI",540
3338,"Pewaukee, WI",Pewaukee,WI,8801,Pewaukee,1028149,Wisconsin,WI,"Milwaukee, WI",617
3339,"Pewaukee, WI",Pewaukee,WI,12494,Pewaukee,1028149,Wisconsin,WI,"Milwaukee, WI",617
3340,"Pflugerville, TX",Pflugerville,TX,39653,Pflugerville,1026687,Texas,TX,"Austin, TX",635
3341,"Pharr, TX",Pharr,TX,65258,Pharr,1026688,Texas,TX,"Harlingen-Weslaco-Brownsville-McAllen, TX",636
3342,"Phenix City, AL",Phenix City,AL,31125,Phenix City,1013099,Alabama,AL,"Columbus, GA",522
3343,"Philadelphia, MS",Philadelphia,MS,7977,Philadelphia,1020800,Mississippi,MS,"Meridian, MS",711
3344,"Philadelphia, PA",Philadelphia,PA,1447395,Philadelphia,1025197,Pennsylvania,PA,"Philadelphia, PA",504
3345,"Phillipsburg, NJ",Phillipsburg,NJ,14528,Phillipsburg,1022342,New Jersey,NJ,"New York, NY",501
3346,"Philomath, OR",Philomath,OR,4512,Philomath,1024538,Oregon,OR,"Eugene, OR",801
3347,"Phoenix, AZ",Phoenix,AZ,1567924,Phoenix,1013462,Arizona,AZ,"Phoenix, AZ",753
3348,"Phoenix, OR",Phoenix,OR,4402,Phoenix,1024539,Oregon,OR,"Medford-Klamath Falls, OR",813
3349,"Phoenixville, PA",Phoenixville,PA,16382,Phoenixville,1025199,Pennsylvania,PA,"Philadelphia, PA",504
3350,"Picayune, MS",Picayune,MS,11787,Picayune,1020801,Mississippi,MS,"New Orleans, LA",622
3351,"Pickerington, OH",Pickerington,OH,17531,Pickerington,1023933,Ohio,OH,"Columbus, OH",535
3352,"Pico Rivera, CA",Pico Rivera,CA,63138,Pico Rivera,1014133,California,CA,"Los Angeles, CA",803
3353,"Piedmont, AL",Piedmont,AL,4964,Piedmont,1013100,Alabama,AL,"Birmingham, AL",630
3354,"Piedmont, CA",Piedmont,CA,10481,Piedmont,1014134,California,CA,"San Francisco-Oakland-San Jose, CA",807
3355,"Piedmont, OK",Piedmont,OK,5504,Piedmont,1024304,Oklahoma,OK,"Oklahoma City, OK",650
3356,"Pierre, SD",Pierre,SD,13899,Pierre,1025838,South Dakota,SD,"Sioux Falls(Mitchell), SD",725
3357,"Pigeon Forge, TN",Pigeon Forge,TN,6204,Pigeon Forge,1026105,Tennessee,TN,"Knoxville, TN",557
3358,"Pikeville, KY",Pikeville,KY,6413,Pikeville,1017864,Kentucky,KY,"Charleston-Huntington, WV",564
3359,"Pilot Point, TX",Pilot Point,TX,4409,Pilot Point,1026689,Texas,TX,"Dallas-Ft. Worth, TX",623
3360,"Pinckneyville, IL",Pinckneyville,IL,5384,Pinckneyville,1016771,Illinois,IL,"Paducah, KY-Cape Girardeau, MO-Harrisburg-Mount Vernon, IL",632
3361,"Pine Bluff, AR",Pine Bluff,AR,50408,Pine Bluff,1013316,Arkansas,AR,"Little Rock-Pine Bluff, AR",693
