,CityState,City.x,State.x,pop,City.y,Criteria.ID,State.y,StateAbb,DMA.Region,DMA.Region.Code
1388,"Fernley, NV",Fernley,NV,12942,Fernley,1022628,Nevada,NV,"Reno, NV",811
1389,"Festus, MO",Festus,MO,11246,Festus,1020329,Missouri,MO,"St. Louis, MO",609
1390,"Fife, WA",Fife,WA,8114,Fife,9051945,Washington,WA,"Seattle-Tacoma, WA",819
1391,"Fillmore, CA",Fillmore,CA,15053,Fillmore,1013786,California,CA,"Los Angeles, CA",803
1392,"Findlay, OH",Findlay,OH,36987,Findlay,1023696,Ohio,OH,"Toledo, OH",547
1393,"Firebaugh, CA",Firebaugh,CA,6972,Firebaugh,1013787,California,CA,"Fresno-Visalia, CA",866
1394,"Firestone, CO",Firestone,CO,8117,Firestone,1014508,Colorado,CO,"Denver, CO",751
1395,"Fishers, IN",Fishers,IN,69011,Fishers,1017093,Indiana,IN,"Indianapolis, IN",527
1396,"Fitchburg, MA",Fitchburg,MA,40239,Fitchburg,1018207,Massachusetts,MA,"Boston, MA-Manchester, NH",506
1397,"Fitchburg, WI",Fitchburg,WI,23344,Fitchburg,9051947,Wisconsin,WI,"Madison, WI",669
1398,"Fitzgerald, GA",Fitzgerald,GA,9185,Fitzgerald,1015350,Georgia,GA,"Albany, GA",525
1399,"Flagler Beach, FL",Flagler Beach,FL,5859,Flagler Beach,1015023,Florida,FL,"Orlando-Daytona Beach-Melbourne, FL",534
1400,"Flagstaff, AZ",Flagstaff,AZ,60222,Flagstaff,1013406,Arizona,AZ,"Phoenix, AZ",753
1401,"Flat Rock, MI",Flat Rock,MI,8771,Flat Rock,1019288,Michigan,MI,"Detroit, MI",505
1402,"Fletcher, NC",Fletcher,NC,4714,Fletcher,1021110,North Carolina,NC,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",567
1403,"Flint, MI",Flint,MI,112900,Flint,1019289,Michigan,MI,"Flint-Saginaw-Bay City, MI",513
1404,"Flora, IL",Flora,IL,4772,Flora,1016469,Illinois,IL,"St. Louis, MO",609
1405,"Floral Park, NY",Floral Park,NY,15846,Floral Park,1022915,New York,NY,"New York, NY",501
1406,"Florence, AL",Florence,AL,37877,Florence,1013007,Alabama,AL,"Huntsville-Decatur (Florence), AL",691
1407,"Florence, AZ",Florence,AZ,20781,Florence,1013407,Arizona,AZ,"Phoenix, AZ",753
1408,"Florence, KY",Florence,KY,27745,Florence,1017760,Kentucky,KY,"Cincinnati, OH",515
1409,"Florence, OR",Florence,OR,8694,Florence,1024457,Oregon,OR,"Eugene, OR",801
1410,"Florence, SC",Florence,SC,31570,Florence,1025551,South Carolina,SC,"Florence-Myrtle Beach, SC",570
1411,"Floresville, TX",Floresville,TX,7639,Floresville,1026397,Texas,TX,"San Antonio, TX",641
1412,"Florham Park, NJ",Florham Park,NJ,12389,Florham Park,1022128,New Jersey,NJ,"New York, NY",501
1413,"Florida City, FL",Florida City,FL,9935,Florida City,9051955,Florida,FL,"Miami-Ft. Lauderdale, FL",528
1414,"Florissant, MO",Florissant,MO,50561,Florissant,1020331,Missouri,MO,"St. Louis, MO",609
1415,"Flossmoor, IL",Flossmoor,IL,9309,Flossmoor,1016470,Illinois,IL,"Chicago, IL",602
1416,"Flower Mound, TX",Flower Mound,TX,69307,Flower Mound,1026398,Texas,TX,"Dallas-Ft. Worth, TX",623
1417,"Flowood, MS",Flowood,MS,7016,Flowood,1020734,Mississippi,MS,"Jackson, MS",718
1418,"Flushing, MI",Flushing,MI,7815,Flushing,1019290,Michigan,MI,"Flint-Saginaw-Bay City, MI",513
1419,"Folcroft, PA",Folcroft,PA,6823,Folcroft,1024862,Pennsylvania,PA,"Philadelphia, PA",504
1420,"Foley, AL",Foley,AL,13807,Foley,1013008,Alabama,AL,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686
1421,"Folsom, CA",Folsom,CA,67788,Folsom,1013789,California,CA,"Sacramento-Stockton-Modesto, CA",862
1422,"Fond du Lac, WI",Fond du Lac,WI,42025,Fond du Lac,1027966,Wisconsin,WI,"Green Bay-Appleton, WI",658
1423,"Fontana, CA",Fontana,CA,184984,Fontana,1013790,California,CA,"Los Angeles, CA",803
1424,"Forest Acres, SC",Forest Acres,SC,9925,Forest Acres,9051960,South Carolina,SC,"Columbia, SC",546
1425,"Forest City, NC",Forest City,NC,7172,Forest City,1021111,North Carolina,NC,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",567
1426,"Forest Grove, OR",Forest Grove,OR,20985,Forest Grove,1024458,Oregon,OR,"Portland, OR",820
1427,"Forest Hills, PA",Forest Hills,PA,6240,Forest Hills,9051963,Pennsylvania,PA,"Pittsburgh, PA",508
1428,"Forest Lake, MN",Forest Lake,MN,17373,Forest Lake,1019836,Minnesota,MN,"Minneapolis-St. Paul, MN",613
1429,"Forest Park, GA",Forest Park,GA,21726,Forest Park,1015353,Georgia,GA,"Atlanta, GA",524
1430,"Forest Park, IL",Forest Park,IL,15224,Forest Park,1016471,Illinois,IL,"Chicago, IL",602
1431,"Forest Park, OH",Forest Park,OH,18514,Forest Park,9051964,Ohio,OH,"Cincinnati, OH",515
1432,"Forest, MS",Forest,MS,5972,Forest,1020735,Mississippi,MS,"Jackson, MS",718
1433,"Forney, TX",Forney,TX,15223,Forney,1026401,Texas,TX,"Dallas-Ft. Worth, TX",623
1434,"Forrest City, AR",Forrest City,AR,13281,Forrest City,1013223,Arkansas,AR,"Memphis, TN",640
1435,"Forsyth, GA",Forsyth,GA,5022,Forsyth,1015354,Georgia,GA,"Macon, GA",503
1436,"Fort Atkinson, WI",Fort Atkinson,WI,11895,Fort Atkinson,1027977,Wisconsin,WI,"Milwaukee, WI",617
1437,"Fort Bragg, CA",Fort Bragg,CA,6604,Fort Bragg,1013806,California,CA,"San Francisco-Oakland-San Jose, CA",807
1438,"Fort Collins, CO",Fort Collins,CO,136509,Fort Collins,1014517,Colorado,CO,"Denver, CO",751
1439,"Fort Dodge, IA",Fort Dodge,IA,25180,Fort Dodge,1015791,Iowa,IA,"Des Moines-Ames, IA",679
1440,"Fort Gibson, OK",Fort Gibson,OK,4368,Fort Gibson,1024203,Oklahoma,OK,"Tulsa, OK",671
1441,"Fort Lauderdale, FL",Fort Lauderdale,FL,183126,Fort Lauderdale,1015027,Florida,FL,"Miami-Ft. Lauderdale, FL",528
1442,"Fort Lee, NJ",Fort Lee,NJ,36275,Fort Lee,1022136,New Jersey,NJ,"New York, NY",501
1443,"Fort Lupton, CO",Fort Lupton,CO,7620,Fort Lupton,1014518,Colorado,CO,"Denver, CO",751
1444,"Fort Madison, IA",Fort Madison,IA,10897,Fort Madison,1015792,Iowa,IA,"Quincy, IL-Hannibal, MO-Keokuk, IA",717
1445,"Fort Meade, FL",Fort Meade,FL,5723,Fort Meade,1015028,Florida,FL,"Tampa-St Petersburg (Sarasota), FL",539
1446,"Fort Mill, SC",Fort Mill,SC,10032,Fort Mill,1025555,South Carolina,SC,"Charlotte, NC",517
1447,"Fort Mitchell, KY",Fort Mitchell,KY,7562,Fort Mitchell,1017768,Kentucky,KY,"Cincinnati, OH",515
1448,"Fort Morgan, CO",Fort Morgan,CO,10539,Fort Morgan,1014519,Colorado,CO,"Denver, CO",751
1449,"Fort Myers Beach, FL",Fort Myers Beach,FL,6410,Fort Myers Beach,1015030,Florida,FL,"Ft. Myers-Naples, FL",571
1450,"Fort Myers, FL",Fort Myers,FL,65394,Fort Myers,1015029,Florida,FL,"Ft. Myers-Naples, FL",571
1451,"Fort Oglethorpe, GA",Fort Oglethorpe,GA,9663,Fort Oglethorpe,1015359,Georgia,GA,"Chattanooga, TN",575
1452,"Fort Payne, AL",Fort Payne,AL,14061,Fort Payne,1013011,Alabama,AL,"Huntsville-Decatur (Florence), AL",691
1453,"Fort Pierce, FL",Fort Pierce,FL,40885,Fort Pierce,1015031,Florida,FL,"West Palm Beach-Ft. Pierce, FL",548
1454,"Fort Scott, KS",Fort Scott,KS,7941,Fort Scott,1017479,Kansas,KS,"Joplin, MO-Pittsburg, KS",603
1455,"Fort Smith, AR",Fort Smith,AR,84716,Fort Smith,1013226,Arkansas,AR,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",670
1456,"Fort Stockton, TX",Fort Stockton,TX,7526,Fort Stockton,1026410,Texas,TX,"Odessa-Midland, TX",633
1457,"Fort Thomas, KY",Fort Thomas,KY,15222,Fort Thomas,1017769,Kentucky,KY,"Cincinnati, OH",515
1458,"Fort Valley, GA",Fort Valley,GA,8200,Fort Valley,1015361,Georgia,GA,"Macon, GA",503
1459,"Fort Walton Beach, FL",Fort Walton Beach,FL,18880,Fort Walton Beach,1015032,Florida,FL,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",686
1460,"Fort Wayne, IN",Fort Wayne,IN,251591,Fort Wayne,1017108,Indiana,IN,"Ft. Wayne, IN",509
1461,"Fort Worth, TX",Fort Worth,TX,703073,Fort Worth,1026411,Texas,TX,"Dallas-Ft. Worth, TX",623
1462,"Fort Wright, KY",Fort Wright,KY,5450,Fort Wright,9051975,Kentucky,KY,"Cincinnati, OH",515
1463,"Fortuna, CA",Fortuna,CA,11329,Fortuna,1013797,California,CA,"Eureka, CA",802
1464,"Foster City, CA",Foster City,CA,29089,Foster City,9051977,California,CA,"San Francisco-Oakland-San Jose, CA",807
1465,"Fostoria, OH",Fostoria,OH,13000,Fostoria,1023699,Ohio,OH,"Toledo, OH",547
1466,"Fountain Hill, PA",Fountain Hill,PA,4575,Fountain Hill,9051978,Pennsylvania,PA,"Philadelphia, PA",504
1467,"Fountain Hills, AZ",Fountain Hills,AZ,25227,Fountain Hills,1013408,Arizona,AZ,"Phoenix, AZ",753
1468,"Fountain Inn, SC",Fountain Inn,SC,7760,Fountain Inn,1025553,South Carolina,SC,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",567
1469,"Fountain Valley, CA",Fountain Valley,CA,55516,Fountain Valley,1013798,California,CA,"Los Angeles, CA",803
1470,"Fountain, CO",Fountain,CO,19669,Fountain,1014512,Colorado,CO,"Colorado Springs-Pueblo, CO",752
1471,"Fowler, CA",Fowler,CA,5563,Fowler,1013799,California,CA,"Fresno-Visalia, CA",866
1472,"Fox Chapel, PA",Fox Chapel,PA,5138,Fox Chapel,9051982,Pennsylvania,PA,"Pittsburgh, PA",508
1473,"Fox Lake, IL",Fox Lake,IL,11087,Fox Lake,1016475,Illinois,IL,"Chicago, IL",602
1474,"Fox Point, WI",Fox Point,WI,6816,Fox Point,9051983,Wisconsin,WI,"Milwaukee, WI",617
1475,"Fox River Grove, IL",Fox River Grove,IL,5172,Fox River Grove,1016476,Illinois,IL,"Chicago, IL",602
1476,"Frankenmuth, MI",Frankenmuth,MI,4652,Frankenmuth,1019294,Michigan,MI,"Flint-Saginaw-Bay City, MI",513
1477,"Frankfort, IL",Frankfort,IL,17981,Frankfort,1016477,Illinois,IL,"Chicago, IL",602
1478,"Frankfort, IN",Frankfort,IN,16394,Frankfort,1017101,Indiana,IN,"Indianapolis, IN",527
1479,"Frankfort, KY",Frankfort,KY,27322,Frankfort,1017763,Kentucky,KY,"Lexington, KY",541
1480,"Franklin Lakes, NJ",Franklin Lakes,NJ,11619,Franklin Lakes,1022131,New Jersey,NJ,"New York, NY",501
1481,"Franklin Park, IL",Franklin Park,IL,17965,Franklin Park,1016479,Illinois,IL,"Chicago, IL",602
1482,"Franklin Park, PA",Franklin Park,PA,12172,Franklin Park,9051988,Pennsylvania,PA,"Pittsburgh, PA",508
1483,"Franklin, IN",Franklin,IN,23258,Franklin,1017102,Indiana,IN,"Indianapolis, IN",527
1484,"Franklin, KY",Franklin,KY,7997,Franklin,1017764,Kentucky,KY,"Nashville, TN",659
1485,"Franklin, LA",Franklin,LA,7680,Franklin,1017977,Louisiana,LA,"Baton Rouge, LA",716
1486,"Franklin, MA",Franklin,MA,32148,Franklin,1018211,Massachusetts,MA,"Boston, MA-Manchester, NH",506
1487,"Franklin, NH",Franklin,NH,8713,Franklin,1021856,New Hampshire,NH,"Boston, MA-Manchester, NH",506
1488,"Franklin, NJ",Franklin,NJ,5077,Franklin,1022130,New Jersey,NJ,"New York, NY",501
1489,"Franklin, NJ",Franklin,NJ,5077,Franklin,9051987,New Jersey,NJ,"Philadelphia, PA",504
1490,"Franklin, OH",Franklin,OH,12941,Franklin,1023701,Ohio,OH,"Cincinnati, OH",515
1491,"Franklin, PA",Franklin,PA,6664,Franklin,1024871,Pennsylvania,PA,"Pittsburgh, PA",508
1492,"Franklin, TN",Franklin,TN,58481,Franklin,1025990,Tennessee,TN,"Nashville, TN",659
1493,"Franklin, VA",Franklin,VA,8877,Franklin,1027129,Virginia,VA,"Norfolk-Portsmouth-Newport News,VA",544
1494,"Franklin, WI",Franklin,WI,35500,Franklin,1027971,Wisconsin,WI,"Milwaukee, WI",617
1495,"Fraser, MI",Fraser,MI,14902,Fraser,1019297,Michigan,MI,"Detroit, MI",505
1496,"Frederick, CO",Frederick,CO,8127,Frederick,1014514,Colorado,CO,"Denver, CO",751
1497,"Frederick, MD",Frederick,MD,59213,Frederick,1018587,Maryland,MD,"Washington, DC (Hagerstown, MD)",511
1498,"Fredericksburg, TX",Fredericksburg,TX,11098,Fredericksburg,1026403,Texas,TX,"Austin, TX",635
1499,"Fredericksburg, VA",Fredericksburg,VA,22818,Fredericksburg,1027130,Virginia,VA,"Washington, DC (Hagerstown, MD)",511
1500,"Fredonia, NY",Fredonia,NY,11064,Fredonia,1022923,New York,NY,"Buffalo, NY",514
1501,"Freeburg, IL",Freeburg,IL,4481,Freeburg,1016480,Illinois,IL,"St. Louis, MO",609
1502,"Freehold, NJ",Freehold,NJ,11425,Freehold,1022134,New Jersey,NJ,"New York, NY",501
1503,"Freeport, IL",Freeport,IL,24615,Freeport,1016481,Illinois,IL,"Rockford, IL",610
1504,"Freeport, NY",Freeport,NY,43881,Freeport,1022925,New York,NY,"New York, NY",501
1505,"Freeport, TX",Freeport,TX,12494,Freeport,1026404,Texas,TX,"Houston, TX",618
1506,"Fremont, CA",Fremont,CA,202867,Fremont,1013802,California,CA,"San Francisco-Oakland-San Jose, CA",807
1507,"Fremont, NE",Fremont,NE,25224,Fremont,1021658,Nebraska,NE,"Omaha, NE",652
1508,"Fremont, OH",Fremont,OH,16655,Fremont,1023703,Ohio,OH,"Toledo, OH",547
1509,"Fresno, CA",Fresno,CA,476050,Fresno,1013804,California,CA,"Fresno-Visalia, CA",866
1510,"Fridley, MN",Fridley,MN,25868,Fridley,9051997,Minnesota,MN,"Minneapolis-St. Paul, MN",613
1511,"Friendswood, TX",Friendswood,TX,33979,Friendswood,1026406,Texas,TX,"Houston, TX",618
1512,"Frisco, TX",Frisco,TX,96676,Frisco,1026407,Texas,TX,"Dallas-Ft. Worth, TX",623
1513,"Front Royal, VA",Front Royal,VA,14616,Front Royal,1027131,Virginia,VA,"Washington, DC (Hagerstown, MD)",511
1514,"Frostburg, MD",Frostburg,MD,7719,Frostburg,1018588,Maryland,MD,"Washington, DC (Hagerstown, MD)",511
1515,"Fruita, CO",Fruita,CO,7418,Fruita,1014516,Colorado,CO,"Grand Junction-Montrose, CO",773
1516,"Fruitland, ID",Fruitland,ID,4732,Fruitland,1016154,Idaho,ID,"Boise, ID",757
1517,"Fruitland, MD",Fruitland,MD,4431,Fruitland,1018589,Maryland,MD,"Salisbury, MD",576
1518,"Fullerton, CA",Fullerton,CA,131868,Fullerton,1013808,California,CA,"Los Angeles, CA",803
1519,"Fulton, MO",Fulton,MO,12707,Fulton,1020338,Missouri,MO,"Columbia-Jefferson City, MO",604
1520,"Fulton, NY",Fulton,NY,11219,Fulton,1022932,New York,NY,"Syracuse, NY",555
1521,"Fultondale, AL",Fultondale,AL,6918,Fultondale,1013014,Alabama,AL,"Birmingham, AL",630
1522,"Gadsden, AL",Gadsden,AL,36816,Gadsden,1013015,Alabama,AL,"Birmingham, AL",630
1523,"Gaffney, SC",Gaffney,SC,13200,Gaffney,1025556,South Carolina,SC,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",567
1524,"Gahanna, OH",Gahanna,OH,33892,Gahanna,9052005,Ohio,OH,"Columbus, OH",535
1525,"Gainesville, FL",Gainesville,FL,114916,Gainesville,1015033,Florida,FL,"Gainesville, FL",592
1526,"Gainesville, GA",Gainesville,GA,35668,Gainesville,1015362,Georgia,GA,"Atlanta, GA",524
1527,"Gainesville, TX",Gainesville,TX,16452,Gainesville,1026413,Texas,TX,"Dallas-Ft. Worth, TX",623
1528,"Gaithersburg, MD",Gaithersburg,MD,58744,Gaithersburg,1018594,Maryland,MD,"Washington, DC (Hagerstown, MD)",511
1529,"Galax, VA",Galax,VA,6808,Galax,1027138,Virginia,VA,"Roanoke-Lynchburg, VA",573
1530,"Galena Park, TX",Galena Park,TX,10207,Galena Park,1026414,Texas,TX,"Houston, TX",618
1531,"Galesburg, IL",Galesburg,IL,31181,Galesburg,1016486,Illinois,IL,"Davenport,IA-Rock Island-Moline,IL",682
1532,"Galion, OH",Galion,OH,10737,Galion,1023707,Ohio,OH,"Columbus, OH",535
1533,"Gallatin, TN",Gallatin,TN,29343,Gallatin,1025995,Tennessee,TN,"Nashville, TN",659
1534,"Gallup, NM",Gallup,NM,19979,Gallup,1022538,New Mexico,NM,"Albuquerque-Santa Fe, NM",790
1535,"Galt, CA",Galt,CA,24026,Galt,1013810,California,CA,"Sacramento-Stockton-Modesto, CA",862
1536,"Galveston, TX",Galveston,TX,57086,Galveston,1026415,Texas,TX,"Houston, TX",618
1537,"Garden City, GA",Garden City,GA,9414,Garden City,9052010,Georgia,GA,"Savannah, GA",507
1538,"Garden City, ID",Garden City,ID,11713,Garden City,1016156,Idaho,ID,"Boise, ID",757
1539,"Garden City, KS",Garden City,KS,28557,Garden City,1017482,Kansas,KS,"Wichita-Hutchinson, KS",678
1540,"Garden City, MI",Garden City,MI,26743,Garden City,1019303,Michigan,MI,"Detroit, MI",505
1541,"Garden City, NY",Garden City,NY,22275,Garden City,1022936,New York,NY,"New York, NY",501
1542,"Garden Grove, CA",Garden Grove,CA,165796,Garden Grove,1013812,California,CA,"Los Angeles, CA",803
1543,"Gardena, CA",Gardena,CA,58554,Gardena,1013813,California,CA,"Los Angeles, CA",803
1544,"Gardendale, AL",Gardendale,AL,13665,Gardendale,1013016,Alabama,AL,"Birmingham, AL",630
1545,"Gardiner, ME",Gardiner,ME,6100,Gardiner,1018864,Maine,ME,"Portland-Auburn, ME",500
1546,"Gardner, KS",Gardner,KS,17462,Gardner,1017483,Kansas,KS,"Kansas City, MO",616
1547,"Gardner, MA",Gardner,MA,20682,Gardner,1018212,Massachusetts,MA,"Boston, MA-Manchester, NH",506
1548,"Garfield Heights, OH",Garfield Heights,OH,27734,Garfield Heights,9052015,Ohio,OH,"Cleveland-Akron (Canton), OH",510
1549,"Garfield, NJ",Garfield,NJ,28971,Garfield,1022138,New Jersey,NJ,"New York, NY",501
1550,"Garland, TX",Garland,TX,218577,Garland,1026419,Texas,TX,"Dallas-Ft. Worth, TX",623
1551,"Garner, NC",Garner,NC,27138,Garner,1021117,North Carolina,NC,"Raleigh-Durham (Fayetteville), NC",560
1552,"Garrett, IN",Garrett,IN,5681,Garrett,1017111,Indiana,IN,"Ft. Wayne, IN",509
1553,"Garwood, NJ",Garwood,NJ,4408,Garwood,1022139,New Jersey,NJ,"New York, NY",501
1554,"Gary, IN",Gary,IN,95920,Gary,1017112,Indiana,IN,"Chicago, IL",602
1555,"Gas City, IN",Gas City,IN,5683,Gas City,1017113,Indiana,IN,"Indianapolis, IN",527
1556,"Gastonia, NC",Gastonia,NC,72505,Gastonia,1021118,North Carolina,NC,"Charlotte, NC",517
1557,"Gatesville, TX",Gatesville,TX,15252,Gatesville,1026422,Texas,TX,"Waco-Temple-Bryan, TX",625
1558,"Gatlinburg, TN",Gatlinburg,TN,5555,Gatlinburg,1025997,Tennessee,TN,"Knoxville, TN",557
1559,"Gautier, MS",Gautier,MS,16306,Gautier,1020737,Mississippi,MS,"Biloxi-Gulfport, MS",746
1560,"Geneseo, IL",Geneseo,IL,6437,Geneseo,1016489,Illinois,IL,"Davenport,IA-Rock Island-Moline,IL",682
1561,"Geneseo, NY",Geneseo,NY,7702,Geneseo,1022940,New York,NY,"Rochester, NY",538
1562,"Geneva, AL",Geneva,AL,4445,Geneva,1013017,Alabama,AL,"Dothan, AL",606
1563,"Geneva, IL",Geneva,IL,24302,Geneva,1016490,Illinois,IL,"Chicago, IL",602
1564,"Geneva, NY",Geneva,NY,13216,Geneva,1022941,New York,NY,"Rochester, NY",538
1565,"Geneva, OH",Geneva,OH,6291,Geneva,1023713,Ohio,OH,"Cleveland-Akron (Canton), OH",510
1566,"Genoa, IL",Genoa,IL,5101,Genoa,1016491,Illinois,IL,"Chicago, IL",602
1567,"Georgetown, DE",Georgetown,DE,5233,Georgetown,1014911,Delaware,DE,"Salisbury, MD",576
1568,"Georgetown, KY",Georgetown,KY,21589,Georgetown,1017772,Kentucky,KY,"Lexington, KY",541
1569,"Georgetown, SC",Georgetown,SC,8501,Georgetown,1025558,South Carolina,SC,"Charleston, SC",519
1570,"Georgetown, TX",Georgetown,TX,49618,Georgetown,1026424,Texas,TX,"Austin, TX",635
1571,"Gering, NE",Gering,NE,7679,Gering,1021663,Nebraska,NE,"Cheyenne, WY-Scottsbluff, NE",759
1572,"Germantown, OH",Germantown,OH,5018,Germantown,1023715,Ohio,OH,"Dayton, OH",542
1573,"Germantown, TN",Germantown,TN,37251,Germantown,1025999,Tennessee,TN,"Memphis, TN",640
1574,"Germantown, WI",Germantown,WI,19594,Germantown,1027980,Wisconsin,WI,"Milwaukee, WI",617
1575,"Gettysburg, PA",Gettysburg,PA,8040,Gettysburg,1024887,Pennsylvania,PA,"Harrisburg-Lancaster-Lebanon-York, PA",566
1576,"Gibsonville, NC",Gibsonville,NC,4738,Gibsonville,1021121,North Carolina,NC,"Greensboro-High Point-Winston Salem, NC",518
1577,"Giddings, TX",Giddings,TX,5423,Giddings,1026426,Texas,TX,"Austin, TX",635
1578,"Gig Harbor, WA",Gig Harbor,WA,7008,Gig Harbor,1027595,Washington,WA,"Seattle-Tacoma, WA",819
1579,"Gilbert, AZ",Gilbert,AZ,216449,Gilbert,1013416,Arizona,AZ,"Phoenix, AZ",753
1580,"Gilberts, IL",Gilberts,IL,5996,Gilberts,9052024,Illinois,IL,"Chicago, IL",602
1581,"Gillette, WY",Gillette,WY,26871,Gillette,1028471,Wyoming,WY,"Denver, CO",751
1582,"Gilmer, TX",Gilmer,TX,5249,Gilmer,1026428,Texas,TX,"Tyler-Longview(Lufkin & Nacogdoches), TX",709
1583,"Gilroy, CA",Gilroy,CA,49934,Gilroy,1013817,California,CA,"San Francisco-Oakland-San Jose, CA",807
1584,"Girard, OH",Girard,OH,10069,Girard,1023718,Ohio,OH,"Youngstown, OH",536
1585,"Gladewater, TX",Gladewater,TX,6275,Gladewater,1026429,Texas,TX,"Tyler-Longview(Lufkin & Nacogdoches), TX",709
1586,"Gladstone, MI",Gladstone,MI,5067,Gladstone,1019306,Michigan,MI,"Marquette, MI",553
1587,"Gladstone, MO",Gladstone,MO,28243,Gladstone,9052025,Missouri,MO,"Kansas City, MO",616
1588,"Gladstone, OR",Gladstone,OR,12079,Gladstone,1024463,Oregon,OR,"Portland, OR",820
1589,"Glasgow, KY",Glasgow,KY,14302,Glasgow,1017774,Kentucky,KY,"Bowling Green, KY",736
1590,"Glassboro, NJ",Glassboro,NJ,19751,Glassboro,1022144,New Jersey,NJ,"Philadelphia, PA",504
1591,"Glassport, PA",Glassport,PA,4548,Glassport,1024893,Pennsylvania,PA,"Pittsburgh, PA",508
1592,"Glen Carbon, IL",Glen Carbon,IL,12607,Glen Carbon,1016499,Illinois,IL,"St. Louis, MO",609
1593,"Glen Cove, NY",Glen Cove,NY,26895,Glen Cove,1022946,New York,NY,"New York, NY",501
1594,"Glen Ellyn, IL",Glen Ellyn,IL,27142,Glen Ellyn,1016500,Illinois,IL,"Chicago, IL",602
1595,"Glen Ridge, NJ",Glen Ridge,NJ,6662,Glen Ridge,1022147,New Jersey,NJ,"New York, NY",501
1596,"Glen Rock, NJ",Glen Rock,NJ,11131,Glen Rock,1022148,New Jersey,NJ,"New York, NY",501
1597,"Glencoe, IL",Glencoe,IL,9038,Glencoe,1016501,Illinois,IL,"Chicago, IL",602
1598,"Glencoe, MN",Glencoe,MN,5550,Glencoe,1019846,Minnesota,MN,"Minneapolis-St. Paul, MN",613
1599,"Glendale Heights, IL",Glendale Heights,IL,31847,Glendale Heights,1016502,Illinois,IL,"Chicago, IL",602
1600,"Glendale, AZ",Glendale,AZ,251522,Glendale,1013417,Arizona,AZ,"Phoenix, AZ",753
1601,"Glendale, CA",Glendale,CA,197176,Glendale,1013819,California,CA,"Los Angeles, CA",803
1602,"Glendale, CO",Glendale,CO,4798,Glendale,9052027,Colorado,CO,"Denver, CO",751
1603,"Glendale, WI",Glendale,WI,12992,Glendale,9052028,Wisconsin,WI,"Milwaukee, WI",617
1604,"Glendive, MT",Glendive,MT,4585,Glendive,1020898,Montana,MT,"Glendive, MT",798
1605,"Glendora, CA",Glendora,CA,49410,Glendora,1013820,California,CA,"Los Angeles, CA",803
1606,"Glennville, GA",Glennville,GA,5397,Glennville,1015363,Georgia,GA,"Savannah, GA",507
1607,"Glenolden, PA",Glenolden,PA,7203,Glenolden,1024898,Pennsylvania,PA,"Philadelphia, PA",504
1608,"Glenpool, OK",Glenpool,OK,9914,Glenpool,1024209,Oklahoma,OK,"Tulsa, OK",671
1609,"Glens Falls, NY",Glens Falls,NY,13877,Glens Falls,1022950,New York,NY,"Albany-Schenectady-Troy, NY",532
1610,"Glenview, IL",Glenview,IL,46180,Glenview,1016503,Illinois,IL,"Chicago, IL",602
1611,"Glenwood Springs, CO",Glenwood Springs,CO,9053,Glenwood Springs,1014523,Colorado,CO,"Denver, CO",751
1612,"Glenwood, IA",Glenwood,IA,5646,Glenwood,1015801,Iowa,IA,"Omaha, NE",652
1613,"Glenwood, IL",Glenwood,IL,8489,Glenwood,1016504,Illinois,IL,"Chicago, IL",602
1614,"Globe, AZ",Globe,AZ,7197,Globe,1013418,Arizona,AZ,"Phoenix, AZ",753
1615,"Gloucester City, NJ",Gloucester City,NJ,11503,Gloucester City,1022151,New Jersey,NJ,"Philadelphia, PA",504
1616,"Gloucester, MA",Gloucester,MA,30243,Gloucester,1018215,Massachusetts,MA,"Boston, MA-Manchester, NH",506
1617,"Gloversville, NY",Gloversville,NY,14990,Gloversville,1022952,New York,NY,"Albany-Schenectady-Troy, NY",532
1618,"Godfrey, IL",Godfrey,IL,17524,Godfrey,1016505,Illinois,IL,"St. Louis, MO",609
1619,"Golden Valley, MN",Golden Valley,MN,20344,Golden Valley,9052038,Minnesota,MN,"Minneapolis-St. Paul, MN",613
1620,"Golden, CO",Golden,CO,17321,Golden,1014524,Colorado,CO,"Denver, CO",751
1621,"Goldsboro, NC",Goldsboro,NC,37597,Goldsboro,1021123,North Carolina,NC,"Raleigh-Durham (Fayetteville), NC",560
1622,"Goleta, CA",Goleta,CA,29404,Goleta,1013822,California,CA,"Santa Barbara-Santa Maria-San Luis Obispo, CA",855
1623,"Gonzales, CA",Gonzales,CA,8537,Gonzales,1013823,California,CA,"Monterey-Salinas, CA",828
1624,"Gonzales, LA",Gonzales,LA,9390,Gonzales,1017982,Louisiana,LA,"Baton Rouge, LA",716
1625,"Gonzales, TX",Gonzales,TX,7298,Gonzales,1026433,Texas,TX,"San Antonio, TX",641
1626,"Goodland, KS",Goodland,KS,4388,Goodland,1017488,Kansas,KS,"Wichita-Hutchinson, KS",678
