"","DMA","scores","sd","count","Region","date"
"173",759,0.11,0.19,3,"Cheyenne, WY-Scottsbluff, NE",2015-06-23 21:22:27
"174",760,0,NA,1,"Twin Falls, ID",2015-06-23 21:22:27
"175",762,0.22,0.6,9,"Missoula, MT",2015-06-23 21:22:27
"176",764,-0.29,1.25,8,"Rapid City, SD",2015-06-23 21:22:27
"177",765,0.05,0.72,100,"El Paso, TX",2015-06-23 21:22:27
"178",770,0.09,0.61,252,"Salt Lake City, UT",2015-06-23 21:22:27
"179",771,-0.17,0.68,16,"Yuma, AZ-El Centro, CA",2015-06-23 21:22:27
"180",773,-0.3,0.84,9,"Grand Junction-Montrose, CO",2015-06-23 21:22:27
"181",789,0.07,0.84,137,"Tucson (Sierra Vista), AZ",2015-06-23 21:22:27
"182",790,0.04,0.55,101,"Albuquerque-Santa Fe, NM",2015-06-23 21:22:27
"183",800,0.01,0.76,114,"Bakersfield, CA",2015-06-23 21:22:27
"184",801,0.02,0.68,52,"Eugene, OR",2015-06-23 21:22:27
"185",802,0.33,0.47,2,"Eureka, CA",2015-06-23 21:22:27
"186",803,0.05,0.7,3193,"Los Angeles, CA",2015-06-23 21:22:27
"187",804,0.07,0.51,85,"Palm Springs, CA",2015-06-23 21:22:27
"188",807,0.06,0.6,962,"San Francisco-Oakland-San Jose, CA",2015-06-23 21:22:27
"189",810,0.13,0.71,77,"Yakima-Pasco-Richland-Kennewick, WA",2015-06-23 21:22:27
"190",811,0.01,0.88,65,"Reno, NV",2015-06-23 21:22:27
"191",813,-0.14,0.95,21,"Medford-Klamath Falls, OR",2015-06-23 21:22:27
"192",819,0.02,0.69,523,"Seattle-Tacoma, WA",2015-06-23 21:22:27
"193",820,0.12,0.62,301,"Portland, OR",2015-06-23 21:22:27
"194",821,0,0,5,"Bend, OR",2015-06-23 21:22:27
"195",825,0.08,0.71,474,"San Diego, CA",2015-06-23 21:22:27
"196",828,0.01,0.57,65,"Monterey-Salinas, CA",2015-06-23 21:22:27
"197",839,0.11,0.74,209,"Las Vegas, NV",2015-06-23 21:22:27
"198",855,0.07,0.76,36,"Santa Barbara-Santa Maria-San Luis Obispo, CA",2015-06-23 21:22:27
"199",862,0.01,0.66,401,"Sacramento-Stockton-Modesto, CA",2015-06-23 21:22:27
"200",866,0.09,0.64,246,"Fresno-Visalia, CA",2015-06-23 21:22:27
"201",868,0.07,0.94,23,"Chico-Redding, CA",2015-06-23 21:22:27
"202",881,0.15,0.48,43,"Spokane, WA",2015-06-23 21:22:27
"","DMA","scores","sd","count","Region","date"
"1",500,-0.06,0.86,35,"Portland-Auburn, ME",2015-06-24 17:22:17
"2",501,0.11,0.69,1712,"New York, NY",2015-06-24 17:22:17
"3",502,0.15,0.66,22,"Binghamton, NY",2015-06-24 17:22:17
"4",503,0.42,0.9,116,"Macon, GA",2015-06-24 17:22:17
"5",504,0.05,0.8,622,"Philadelphia, PA",2015-06-24 17:22:17
