"","DMA","scores","sd","count","Region","date"
"32",803,0.43,1.13,7,"Los Angeles, CA","Tue Jun 30 23:15:36 2015"
"33",807,2.33,2.08,3,"San Francisco-Oakland-San Jose, CA","Tue Jun 30 23:15:36 2015"
"34",811,-1,1.41,2,"Reno, NV","Tue Jun 30 23:15:36 2015"
"35",819,-1,1.41,2,"Seattle-Tacoma, WA","Tue Jun 30 23:15:36 2015"
"36",825,-5,NA,1,"San Diego, CA","Tue Jun 30 23:15:36 2015"
"37",839,4,NA,1,"Las Vegas, NV","Tue Jun 30 23:15:36 2015"
"38",862,0,0,2,"Sacramento-Stockton-Modesto, CA","Tue Jun 30 23:15:36 2015"
"39",866,-6,NA,1,"Fresno-Visalia, CA","Tue Jun 30 23:15:36 2015"
"40",868,0,NA,1,"Chico-Redding, CA","Tue Jun 30 23:15:36 2015"
"","DMA","scores","sd","count","Region","date"
"1",500,0,NA,1,"Portland-Auburn, ME","Tue Jun 30 23:21:29 2015"
"2",501,0.17,1.95,154,"New York, NY","Tue Jun 30 23:21:29 2015"
"3",502,-3,NA,1,"Binghamton, NY","Tue Jun 30 23:21:29 2015"
"4",503,1.33,1.53,3,"Macon, GA","Tue Jun 30 23:21:29 2015"
"5",504,0.24,2.69,120,"Philadelphia, PA","Tue Jun 30 23:21:29 2015"
"6",505,-0.09,2.23,114,"Detroit, MI","Tue Jun 30 23:21:29 2015"
"7",506,0.35,2.35,40,"Boston, MA-Manchester, NH","Tue Jun 30 23:21:29 2015"
"8",507,-0.44,1.01,9,"Savannah, GA","Tue Jun 30 23:21:29 2015"
"9",508,0.64,1.55,14,"Pittsburgh, PA","Tue Jun 30 23:21:29 2015"
"10",509,0,0,4,"Ft. Wayne, IN","Tue Jun 30 23:21:29 2015"
"11",510,-0.24,2.59,118,"Cleveland-Akron (Canton), OH","Tue Jun 30 23:21:29 2015"
"12",511,0.18,3.43,49,"Washington, DC (Hagerstown, MD)","Tue Jun 30 23:21:29 2015"
"13",512,-0.32,2.72,41,"Baltimore, MD","Tue Jun 30 23:21:29 2015"
"14",513,0.2,2.53,10,"Flint-Saginaw-Bay City, MI","Tue Jun 30 23:21:29 2015"
"15",514,-0.45,1.74,40,"Buffalo, NY","Tue Jun 30 23:21:29 2015"
"16",515,-0.57,2.51,7,"Cincinnati, OH","Tue Jun 30 23:21:29 2015"
"17",516,0,0,2,"Erie, PA","Tue Jun 30 23:21:29 2015"
"18",517,0.23,1.33,31,"Charlotte, NC","Tue Jun 30 23:21:29 2015"
"19",518,-0.26,1.41,19,"Greensboro-High Point-Winston Salem, NC","Tue Jun 30 23:21:29 2015"
"20",519,0.5,2.03,14,"Charleston, SC","Tue Jun 30 23:21:29 2015"
"21",520,0.15,1.57,13,"Augusta, GA","Tue Jun 30 23:21:29 2015"
"22",521,-0.2,1.57,15,"Providence, RI-New Bedford, MA","Tue Jun 30 23:21:29 2015"
"23",522,0.32,2.17,22,"Columbus, GA","Tue Jun 30 23:21:29 2015"
"24",524,0.11,2.03,82,"Atlanta, GA","Tue Jun 30 23:21:29 2015"
"25",526,1,1.73,3,"Utica, NY","Tue Jun 30 23:21:29 2015"
"26",527,0.15,2.32,65,"Indianapolis, IN","Tue Jun 30 23:21:29 2015"
"27",528,-0.24,1.97,92,"Miami-Ft. Lauderdale, FL","Tue Jun 30 23:21:29 2015"
"28",529,-0.33,1.8,9,"Louisville, KY","Tue Jun 30 23:21:29 2015"
"29",530,0.11,0.78,9,"Tallahassee, FL-Thomasville, GA","Tue Jun 30 23:21:29 2015"
"30",531,0,NA,1,"Tri-Cities, TN-VA","Tue Jun 30 23:21:29 2015"
"31",532,3.5,3.54,2,"Albany-Schenectady-Troy, NY","Tue Jun 30 23:21:29 2015"
"32",533,-0.23,1.8,22,"Hartford & New Haven, CT","Tue Jun 30 23:21:29 2015"
"33",534,0,1.56,50,"Orlando-Daytona Beach-Melbourne, FL","Tue Jun 30 23:21:29 2015"
"34",535,-0.16,1.09,43,"Columbus, OH","Tue Jun 30 23:21:29 2015"
"35",536,0,1.67,6,"Youngstown, OH","Tue Jun 30 23:21:29 2015"
"36",539,0.42,1.44,24,"Tampa-St Petersburg (Sarasota), FL","Tue Jun 30 23:21:29 2015"
"37",540,-0.4,2.88,5,"Traverse City-Cadillac, MI","Tue Jun 30 23:21:29 2015"
"38",541,0,0,3,"Lexington, KY","Tue Jun 30 23:21:29 2015"
"39",542,-0.07,2.23,27,"Dayton, OH","Tue Jun 30 23:21:29 2015"
"40",543,-0.67,3.01,6,"Springfield-Holyoke, MA","Tue Jun 30 23:21:29 2015"
"41",544,-0.29,2.6,34,"Norfolk-Portsmouth-Newport News,VA","Tue Jun 30 23:21:29 2015"
"42",545,0,NA,1,"Greenville-New Bern-Washington, NC","Tue Jun 30 23:21:29 2015"
"43",546,-0.32,2.47,19,"Columbia, SC","Tue Jun 30 23:21:29 2015"
"44",547,0.12,1.21,32,"Toledo, OH","Tue Jun 30 23:21:29 2015"
"45",548,0.12,1.83,17,"West Palm Beach-Ft. Pierce, FL","Tue Jun 30 23:21:29 2015"
"46",551,1,2.91,10,"Lansing, MI","Tue Jun 30 23:21:29 2015"
"47",553,0,NA,1,"Marquette, MI","Tue Jun 30 23:21:29 2015"
"48",554,0,NA,1,"Wheeling, WV-Steubenville, OH","Tue Jun 30 23:21:29 2015"
"49",555,-1.5,2.12,2,"Syracuse, NY","Tue Jun 30 23:21:29 2015"
